RefSeq Predicted Protein ID [e.g. XP_001720922]	Associated Gene Name
XP_011245575	4430402I18Rik
XP_006527225	4430402I18Rik
XP_011245574	4430402I18Rik
XP_006527223	4430402I18Rik
XP_006527221	4430402I18Rik
XP_011245578	4430402I18Rik
XP_011245577	4430402I18Rik
XP_011245576	4430402I18Rik
XP_011239401	Zfp282
XP_006529829	Stx6
XP_006498114	Angptl2
XP_011240912	Zfp558
XP_006510684	Zfp558
XP_011240911	Zfp558
XP_006498470	Upp2
XP_006498474	Upp2
XP_006498472	Upp2
XP_006498473	Upp2
XP_006541381	Siglece
XP_011248381	Plag1
XP_006538179	Plag1
XP_006537844	Tyrp1
XP_006537845	Tyrp1
XP_006537846	Tyrp1
XP_006538286	Ubap2
XP_006538288	Ubap2
XP_006538289	Ubap2
XP_006538287	Ubap2
XP_006526808	Nrap
XP_006526809	Nrap
XP_006526810	Nrap
XP_006526811	Nrap
XP_006529845	Ralb
XP_006514099	Gucd1
XP_006514097	Gucd1
XP_006532343	Hoxb1
XP_006511121	Ttk
XP_006511122	Ttk
XP_011242884	Faf2
XP_006517515	Faf2
XP_011242885	Faf2
XP_011242883	Faf2
XP_006523579	Axin1
XP_006523578	Axin1
XP_006519125	Rnf31
XP_006519295	Atp8a2
XP_006519296	Atp8a2
XP_006519297	Atp8a2
XP_006519298	Atp8a2
XP_006517083	Rnf44
XP_011242750	Rnf44
XP_011242749	Rnf44
XP_006517082	Rnf44
XP_011242748	Rnf44
XP_006517081	Rnf44
XP_011242751	Rnf44
XP_011242752	Rnf44
XP_011242753	Rnf44
XP_006498851	Hnf4a
XP_006498850	Hnf4a
XP_006532637	Itgb4
XP_011247120	Itgb4
XP_006532636	Itgb4
XP_011247121	Itgb4
XP_006532635	Itgb4
XP_006498041	Mapkap1
XP_011237387	Mapkap1
XP_006498046	Mapkap1
XP_006498045	Mapkap1
XP_006498043	Mapkap1
XP_011237385	Mapkap1
XP_011237384	Mapkap1
XP_011237386	Mapkap1
XP_006498038	Mapkap1
XP_006502264	Slc9b1
XP_011238553	Slc9b1
XP_011239038	Commd8
XP_011239039	Commd8
XP_011239040	Commd8
XP_006540276	Scgb2b19
XP_006531147	Pdpr
XP_006521727	Zc3h7a
XP_006521729	Zc3h7a
XP_006521728	Zc3h7a
XP_006502159	Tchhl1
XP_006500694	Ss18l1
XP_006535613	Kcnmb2
XP_006535612	Kcnmb2
XP_006535615	Kcnmb2
XP_006535614	Kcnmb2
XP_011248016	Kcnmb2
XP_006498328	Fam166a
XP_011237463	Fam166a
XP_006498329	Fam166a
XP_006498330	Fam166a
XP_011237464	Fam166a
XP_011237465	Fam166a
XP_011237466	Fam166a
XP_011237467	Fam166a
XP_006498332	Fam166a
XP_006498331	Fam166a
XP_006534283	Krt28
XP_006534284	Krt28
XP_006534285	Krt28
XP_006514127	2010107G23Rik
XP_006514126	2010107G23Rik
XP_006497017	Mrps14
XP_006530140	Impa1
XP_006530141	Impa1
XP_006530142	Impa1
XP_006527382	Tmem216
XP_006527381	Tmem216
XP_006502535	Cept1
XP_006502534	Cept1
XP_011247292	Usp32
XP_006496730	Hsd17b7
XP_011237060	Hsd17b7
XP_006537894	Car9
XP_006500309	Macrod2
XP_006500310	Macrod2
XP_006500311	Macrod2
XP_006500312	Macrod2
XP_006500313	Macrod2
XP_011238096	Macrod2
XP_006500314	Macrod2
XP_006500315	Macrod2
XP_006543099	Gcsh
XP_006498020	Slc25a25
XP_006498017	Slc25a25
XP_006498018	Slc25a25
XP_006539301	Atp13a2
XP_006539302	Atp13a2
XP_006539299	Atp13a2
XP_011248649	Atp13a2
XP_006539300	Atp13a2
XP_006509922	Mmp27
XP_006509921	Mmp27
XP_006530137	Sirpb1a
XP_006530136	Sirpb1a
XP_011246114	Ptchd1
XP_006514334	Gstt4
XP_006503727	Slc30a9
XP_006536736	Agpat1
XP_006536737	Agpat1
XP_006537467	Agpat1
XP_006537468	Agpat1
XP_006525487	Agpat1
XP_006525488	Agpat1
XP_006524710	Agpat1
XP_006524711	Agpat1
XP_006532643	Trpv1
XP_006536356	Trpv1
XP_006511600	Lca5
XP_006511601	Lca5
XP_011241135	Lca5
XP_006511597	Lca5
XP_011241134	Lca5
XP_006511598	Lca5
XP_006511599	Lca5
XP_006539628	Arhgef1
XP_006539627	Arhgef1
XP_006540503	Vmn1r172
XP_006497516	Dclre1c
XP_006497517	Dclre1c
XP_011237274	Dclre1c
XP_006497515	Dclre1c
XP_006497518	Dclre1c
XP_006497519	Dclre1c
XP_006497521	Dclre1c
XP_011237273	Dclre1c
XP_006497523	Dclre1c
XP_011236954	Col4a4
XP_011236955	Col4a4
XP_011248910	Proser3
XP_006540186	Proser3
XP_006540187	Proser3
XP_006540188	Proser3
XP_006507501	Pde3b
XP_006496033	Adam23
XP_006496032	Adam23
XP_006541387	Nipa2
XP_006500767	Uckl1
XP_006500768	Uckl1
XP_006500769	Uckl1
XP_006500770	Uckl1
XP_006500771	Uckl1
XP_011248838	Zfp420
XP_006539936	Zfp420
XP_011248839	Zfp420
XP_011248840	Zfp420
XP_006497279	Rab3gap2
XP_011237886	Trp53bp1
XP_006499724	Trp53bp1
XP_006499725	Trp53bp1
XP_011237884	Trp53bp1
XP_011237885	Trp53bp1
XP_006499729	Trp53bp1
XP_011237883	Trp53bp1
XP_006499731	Trp53bp1
XP_011237887	Trp53bp1
XP_011244078	Trps1
XP_011244079	Trps1
XP_011244080	Trps1
XP_011244081	Trps1
XP_011244082	Trps1
XP_006521626	Trps1
XP_006521624	Trps1
XP_006521623	Trps1
XP_006521625	Trps1
XP_011241961	Bcl11a
XP_006514570	Bcl11a
XP_006514567	Bcl11a
XP_011241963	Bcl11a
XP_006514569	Bcl11a
XP_006514568	Bcl11a
XP_006510195	Tmprss13
XP_006540901	Lrrk1
XP_006540902	Lrrk1
XP_006512990	Stxbp5
XP_006512992	Stxbp5
XP_006512989	Stxbp5
XP_006512991	Stxbp5
XP_006522839	Mpv17l
XP_011244354	Mpv17l
XP_006515815	Unc79
XP_006515806	Unc79
XP_006515810	Unc79
XP_006515814	Unc79
XP_006515816	Unc79
XP_006515807	Unc79
XP_006515808	Unc79
XP_006515809	Unc79
XP_006515811	Unc79
XP_006515813	Unc79
XP_006515812	Unc79
XP_006515819	Unc79
XP_006523001	Itsn1
XP_006522994	Itsn1
XP_006522995	Itsn1
XP_006522998	Itsn1
XP_006523000	Itsn1
XP_006522997	Itsn1
XP_006522996	Itsn1
XP_006522999	Itsn1
XP_006523002	Itsn1
XP_011236373	Gm6871
XP_011236374	Gm6871
XP_011249231	Gm6871
XP_006507808	Gm166
XP_006507809	Gm166
XP_011237337	Nxph2
XP_006528788	Magea5
XP_006528790	Magea5
XP_006528789	Magea5
XP_006514604	Kcnmb1
XP_006506174	Iqsec3
XP_006506175	Iqsec3
XP_006532736	Sphk1
XP_006532732	Sphk1
XP_006532735	Sphk1
XP_006532733	Sphk1
XP_006532734	Sphk1
XP_011247143	Sphk1
XP_006532737	Sphk1
XP_006504263	Acox3
XP_006504261	Acox3
XP_006504262	Acox3
XP_006504259	Acox3
XP_006504260	Acox3
XP_011239103	Acox3
XP_006520820	Dcaf13
XP_006538920	Pramef8
XP_006538919	Pramef8
XP_006500395	Tti1
XP_011238128	Tti1
XP_006498174	Stkld1
XP_006498178	Stkld1
XP_006498170	Stkld1
XP_006498171	Stkld1
XP_006498172	Stkld1
XP_006498173	Stkld1
XP_006498175	Stkld1
XP_006498176	Stkld1
XP_006514866	Kcnip1
XP_006506205	Olfr460
XP_006501200	Psmd4
XP_006508115	BC051019
XP_006508116	BC051019
XP_006508117	BC051019
XP_006511368	Ick
XP_006511367	Ick
XP_006538222	Asph
XP_006517368	Dbn1
XP_011240240	Nlrp14
XP_011239260	Zkscan1
XP_006504691	Zkscan1
XP_006521602	Sbf1
XP_011244076	Sbf1
XP_006521601	Sbf1
XP_011244075	Sbf1
XP_006521604	Sbf1
XP_006541258	Crtc3
XP_006499388	Ccm2l
XP_006499389	Ccm2l
XP_011237784	Ccm2l
XP_006536293	Chid1
XP_006528375	1700031F05Rik
XP_006528373	1700031F05Rik
XP_006528374	1700031F05Rik
XP_006517518	Catsper3
XP_006537663	Col15a1
XP_006537664	Col15a1
XP_006501086	Gstm6
XP_006501087	Gstm6
XP_006514160	Ankrd24
XP_006514156	Ankrd24
XP_006514157	Ankrd24
XP_006514158	Ankrd24
XP_006514159	Ankrd24
XP_006514163	Ankrd24
XP_006514162	Ankrd24
XP_006514161	Ankrd24
XP_006532086	Aldh3a1
XP_006532091	Aldh3a1
XP_006532089	Aldh3a1
XP_006532087	Aldh3a1
XP_006532088	Aldh3a1
XP_006532090	Aldh3a1
XP_006524362	Fgd2
XP_011244775	Fgd2
XP_006524363	Fgd2
XP_006533710	Gm884
XP_006527823	Chic1
XP_006507669	Crebzf
XP_006511218	Xrn1
XP_006511216	Xrn1
XP_006511217	Xrn1
XP_006511219	Xrn1
XP_006517800	Trappc13
XP_006540603	Grwd1
XP_006501885	Asic5
XP_006501884	Asic5
XP_006501887	Asic5
XP_011238478	Asic5
XP_006501886	Asic5
XP_006501888	Asic5
XP_006498652	Api5
XP_006513165	Avil
XP_011241577	Avil
XP_006513160	Avil
XP_006513161	Avil
XP_006513162	Avil
XP_011241578	Avil
XP_006513163	Avil
XP_006513164	Avil
XP_006500847	Jade1
XP_006528783	Magea2
XP_006510903	Nck1
XP_006510904	Nck1
XP_006534261	5730455P16Rik
XP_006532761	Ccdc40
XP_011247145	Ccdc40
XP_006532762	Ccdc40
XP_006497729	Lcn5
XP_006497730	Lcn5
XP_006497731	Lcn5
XP_006497728	Lcn5
XP_006516790	Prl2c1
XP_006529115	Gm9994
XP_006534264	Pwwp2a
XP_006534265	Pwwp2a
XP_006534266	Pwwp2a
XP_006534267	Pwwp2a
XP_006534268	Pwwp2a
XP_011247560	Pwwp2a
XP_006534263	Pwwp2a
XP_006526062	Nol4
XP_006526063	Nol4
XP_006526061	Nol4
XP_006526060	Nol4
XP_006508521	Ano1
XP_006508522	Ano1
XP_006508526	Ano1
XP_011240275	Ano1
XP_011240276	Ano1
XP_011240277	Ano1
XP_006508527	Ano1
XP_006536590	H2-M2
XP_006537323	H2-M2
XP_006525521	H2-M2
XP_006523745	H2-M2
XP_011246455	Gm13051
XP_006532102	Ankfy1
XP_006500743	Adrm1
XP_006516595	Dsp
XP_006523814	Mep1a
XP_006510650	1810046K07Rik
XP_006510652	1810046K07Rik
XP_006510651	1810046K07Rik
XP_006508078	Ppp2r2d
XP_006508080	Ppp2r2d
XP_006508079	Ppp2r2d
XP_006508081	Ppp2r2d
XP_006508082	Ppp2r2d
XP_006532917	Mrpl22
XP_006505736	Vmn1r4
XP_006505735	Vmn1r4
XP_006505734	Vmn1r4
XP_006502075	Bola1
XP_006502076	Bola1
XP_006502077	Bola1
XP_006536599	H2-Q1
XP_006523756	H2-Q1
XP_006537333	H2-Q1
XP_011244602	H2-Q1
XP_006523753	H2-Q1
XP_006523754	H2-Q1
XP_006536597	H2-Q1
XP_011236519	H2-Q1
XP_011244604	H2-Q1
XP_006537331	H2-Q1
XP_011249592	H2-Q1
XP_006523751	H2-Q1
XP_011246068	Tex13
XP_006536405	Gm21677
XP_006536404	Gm21677
XP_011249428	Gm3183
XP_006542839	Gm3183
XP_011249429	Gm3183
XP_006542847	Gm3183
XP_011247903	Gm3183
XP_006499017	Mapk8ip1
XP_006499016	Mapk8ip1
XP_006516280	Bag5
XP_006516281	Bag5
XP_006516279	Bag5
XP_011249278	Xiap
XP_006541490	Xiap
XP_006541488	Xiap
XP_011249279	Xiap
XP_011239053	Slc5a6
XP_006540326	Vmn2r33
XP_006532696	Sept8
XP_006532697	Sept8
XP_011247135	Sept8
XP_011247136	Sept8
XP_006532698	Sept8
XP_006537899	Tmeff1
XP_006537900	Tmeff1
XP_006537901	Tmeff1
XP_011247957	Cp
XP_006535444	Cp
XP_006538147	Sdcbp
XP_011239915	C2cd5
XP_011239910	C2cd5
XP_011239905	C2cd5
XP_011239909	C2cd5
XP_006507066	C2cd5
XP_011239913	C2cd5
XP_011239903	C2cd5
XP_011239906	C2cd5
XP_011239911	C2cd5
XP_006507060	C2cd5
XP_011239904	C2cd5
XP_011239907	C2cd5
XP_006507070	C2cd5
XP_011239908	C2cd5
XP_011239912	C2cd5
XP_011239914	C2cd5
XP_011243882	Lrrc14
XP_006520848	Lrrc14
XP_006520850	Lrrc14
XP_006520849	Lrrc14
XP_006520852	Lrrc14
XP_011243881	Lrrc14
XP_006525158	Lmf1
XP_006531850	Cdk2ap2
XP_011239233	Gjc3
XP_006510671	Tmem25
XP_011240903	Tmem25
XP_011240905	Tmem25
XP_006510672	Tmem25
XP_006510673	Tmem25
XP_011240904	Tmem25
XP_011243452	Gm8267
XP_006529858	Edem3
XP_011246363	Edem3
XP_006529861	Edem3
XP_011246365	Edem3
XP_011246362	Edem3
XP_006529860	Edem3
XP_006529863	Edem3
XP_006529859	Edem3
XP_011246364	Edem3
XP_006529862	Edem3
XP_006525722	Nr3c1
XP_006525721	Nr3c1
XP_006525726	Nr3c1
XP_006525727	Nr3c1
XP_006525728	Nr3c1
XP_006525724	Nr3c1
XP_006525723	Nr3c1
XP_006525725	Nr3c1
XP_006525729	Nr3c1
XP_006496881	Akt3
XP_006496882	Akt3
XP_006514999	Cbll1
XP_006515000	Cbll1
XP_006515001	Cbll1
XP_006515002	Cbll1
XP_006515003	Cbll1
XP_006515004	Cbll1
XP_006515005	Cbll1
XP_006515302	Asxl2
XP_006515304	Asxl2
XP_011245855	Rps4x
XP_006539215	Lzic
XP_006539216	Lzic
XP_006539494	Vmn2r31
XP_006540441	Smg9
XP_006540440	Smg9
XP_011240004	Clpb
XP_006507551	Clpb
XP_006499680	Spo11
XP_006499681	Spo11
XP_006499682	Spo11
XP_006499683	Spo11
XP_006526173	Tcerg1
XP_006526174	Tcerg1
XP_006526175	Tcerg1
XP_006526176	Tcerg1
XP_006526178	Tcerg1
XP_011248656	Tmco4
XP_006539343	Tmco4
XP_006530697	Cdh8
XP_006530694	Cdh8
XP_006522933	Prdm15
XP_006522926	Prdm15
XP_006522927	Prdm15
XP_006522928	Prdm15
XP_006522929	Prdm15
XP_011244392	Prdm15
XP_006522931	Prdm15
XP_006522935	Prdm15
XP_006522932	Prdm15
XP_011244393	Prdm15
XP_006531337	Tmem208
XP_006531338	Tmem208
XP_006531339	Tmem208
XP_006531340	Tmem208
XP_006535504	Zmat3
XP_011241694	Creb3l3
XP_006531387	Tppp3
XP_011248930	Hif3a
XP_006497756	Fnbp1
XP_006497757	Fnbp1
XP_006497748	Fnbp1
XP_006497749	Fnbp1
XP_011237321	Fnbp1
XP_006497752	Fnbp1
XP_006497753	Fnbp1
XP_006497755	Fnbp1
XP_006497747	Fnbp1
XP_006497750	Fnbp1
XP_006497751	Fnbp1
XP_006497754	Fnbp1
XP_006497758	Fnbp1
XP_006528224	Zmym3
XP_006528231	Zmym3
XP_011245953	Zmym3
XP_011245952	Zmym3
XP_006528223	Zmym3
XP_006528225	Zmym3
XP_006528230	Zmym3
XP_006528232	Zmym3
XP_006528226	Zmym3
XP_006528229	Zmym3
XP_006528227	Zmym3
XP_006528228	Zmym3
XP_006528233	Zmym3
XP_006528234	Zmym3
XP_006525236	BC004004
XP_006525237	BC004004
XP_006512649	Nmbr
XP_011247192	Ubtf
XP_011247193	Ubtf
XP_011247194	Ubtf
XP_011247190	Ubtf
XP_011247191	Ubtf
XP_011245029	Tmem247
XP_006525104	Mdga1
XP_006525103	Mdga1
XP_006498774	Epb41l1
XP_006498776	Epb41l1
XP_011237577	Epb41l1
XP_011237578	Epb41l1
XP_006498777	Epb41l1
XP_011237583	Epb41l1
XP_011237579	Epb41l1
XP_011237580	Epb41l1
XP_006498771	Epb41l1
XP_011237582	Epb41l1
XP_011245459	Ldb1
XP_006526786	Ldb1
XP_006505379	Foxp1
XP_006505380	Foxp1
XP_011239428	Foxp1
XP_006505385	Foxp1
XP_006505386	Foxp1
XP_011239426	Foxp1
XP_011239427	Foxp1
XP_006505382	Foxp1
XP_006505384	Foxp1
XP_006505383	Foxp1
XP_006505377	Foxp1
XP_006505371	Foxp1
XP_006505373	Foxp1
XP_006505374	Foxp1
XP_006505375	Foxp1
XP_006505376	Foxp1
XP_006505387	Foxp1
XP_006505378	Foxp1
XP_011239425	Foxp1
XP_011239424	Foxp1
XP_011239423	Foxp1
XP_011240279	Ccnd1
XP_011248571	Plch2
XP_011248572	Plch2
XP_011248573	Plch2
XP_006539007	Plch2
XP_011248575	Plch2
XP_011248576	Plch2
XP_011248578	Plch2
XP_011248570	Plch2
XP_006538999	Plch2
XP_011248574	Plch2
XP_006539003	Plch2
XP_011248577	Plch2
XP_011248579	Plch2
XP_011238989	Bre
XP_006508714	Oraov1
XP_006508715	Oraov1
XP_006508713	Oraov1
XP_006508712	Oraov1
XP_011249286	Stag2
XP_011249289	Stag2
XP_011249288	Stag2
XP_011249287	Stag2
XP_011249285	Stag2
XP_011249290	Stag2
XP_011249291	Stag2
XP_011237663	Phf21a
XP_011237664	Phf21a
XP_011237665	Phf21a
XP_011237666	Phf21a
XP_011237667	Phf21a
XP_011237668	Phf21a
XP_011237669	Phf21a
XP_011237670	Phf21a
XP_011237671	Phf21a
XP_011237672	Phf21a
XP_011237673	Phf21a
XP_006499023	Phf21a
XP_011237675	Phf21a
XP_011237676	Phf21a
XP_006499037	Phf21a
XP_006499038	Phf21a
XP_006499034	Phf21a
XP_006499030	Phf21a
XP_006499035	Phf21a
XP_011237679	Phf21a
XP_011237680	Phf21a
XP_006499043	Phf21a
XP_011237678	Phf21a
XP_006499040	Phf21a
XP_011237674	Phf21a
XP_006499022	Phf21a
XP_006499027	Phf21a
XP_011237677	Phf21a
XP_006499033	Phf21a
XP_006510822	Adamts7
XP_006510821	Adamts7
XP_006510823	Adamts7
XP_006510826	Adamts7
XP_006510824	Adamts7
XP_006499168	A430105I19Rik
XP_006526914	Ccdc186
XP_006498856	Il1a
XP_006535821	Paxip1
XP_011248080	Paxip1
XP_011248081	Paxip1
XP_011248082	Paxip1
XP_006519197	Zmiz1
XP_006519198	Zmiz1
XP_006519196	Zmiz1
XP_006505786	Oxtr
XP_006529404	Slc45a3
XP_006529405	Slc45a3
XP_006540699	Gtf2h1
XP_006499637	Olfr1242
XP_006499638	Olfr1242
XP_011244871	Rpl3l
XP_011249134	Klhl25
XP_006504616	Gnb2
XP_006528304	Dgat2l6
XP_006528305	Dgat2l6
XP_006499173	Duox2
XP_006530174	Acacb
XP_006530176	Acacb
XP_006530175	Acacb
XP_006530177	Acacb
XP_011243999	Prpf40b
XP_011244000	Prpf40b
XP_006521241	Prpf40b
XP_006521244	Prpf40b
XP_006521250	Prpf40b
XP_006521249	Prpf40b
XP_006521248	Prpf40b
XP_006521251	Prpf40b
